Access	File Name	Cases	Project	Data Category	Data Format	File Size	Annotations
open	9d26edab-7937-423c-8b5a-ac333211a29b.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	303.81 KB	0
open	955f9541-b394-4b28-90de-9101d24f72ad.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.34 KB	0
open	f888eea4-4fda-4f9f-a8cb-66e8219ce268.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	301.9 KB	0
open	d4f8538e-93d1-40ba-9c89-ad59ab96c1f7.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.1 KB	0
open	dec5e5a1-09c1-404c-8f50-ff351412dc31.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	310.21 KB	0
open	fc29320e-ef34-49e4-97a8-642487dcc95a.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.11 KB	0
open	84bba63e-1ed1-4832-9559-d7752cc741b2.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.79 KB	0
open	bf13bb79-70b4-4e50-aa11-b07933398cc1.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.98 KB	0
open	40c3d223-a76c-4433-a18a-ca45d03072fa.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.29 KB	0
open	8a84b3e2-92a0-4c2b-986b-0efa8a22a8f3.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.97 KB	0
open	80b9fcf4-185c-4e52-bcff-8ab52ab4bfa5.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	301.1 KB	0
open	26345bdf-1219-4668-b714-5b983a2694ff.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.51 KB	0
open	62e3c932-a358-4e79-855e-8f4e4ba12e67.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	307.81 KB	0
open	cd463692-b74f-4f8e-90f4-e54a597fe25f.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.11 KB	0
open	ec392d74-9f55-4363-a8bb-62bb4716343c.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.13 KB	0
open	1215145b-b5bb-4cbf-922f-64722c537ee3.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	303.67 KB	0
open	64a66f75-1866-4ed6-bfce-459e6abe7df1.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	310.26 KB	0
open	719f7392-0c7b-4529-99c3-b3db6c42b382.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.46 KB	0
open	bc06ad7f-7af9-4e8c-8bbe-908faf0d7edc.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	300.71 KB	0
open	044f8701-5e9f-4300-beb2-41fef8096685.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	309.82 KB	0
open	19627314-9c27-46fc-88c7-a4a4129734f8.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	307.5 KB	0
open	e416eb09-74b9-47b3-872a-d3f5c7ce55a7.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	309.09 KB	0
open	a6707dd6-9c95-4950-a984-67b5c1b41598.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.51 KB	0
open	fad4ebeb-527a-43d2-982c-1c662d92213c.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	298.01 KB	0
open	ec21019e-472d-4f1f-8cfc-bf4dd8bee7ab.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.3 KB	0
open	38b05dca-6d3f-4999-aded-0870bfd8f7e7.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.03 KB	0
open	7bd81b4e-0f1b-476d-aca5-b31f69f37581.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.82 KB	0
open	425fe9f4-851a-435c-84ab-bafbb5c55022.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.78 KB	0
open	21f045a3-cf78-47f9-b36d-d0b3f1e35060.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.27 KB	0
open	9618c27d-d2ee-4e70-b713-412513b761bd.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.74 KB	0
open	d7c7d4b8-19a5-4926-b215-067bd1d16c5a.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.74 KB	0
open	4069e97d-f69c-4cee-a575-f112c490804d.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	303.97 KB	0
open	30520ecd-c6bd-4039-9b1a-d3f999235598.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.29 KB	0
open	7a33674a-4f33-452b-9ac5-cf692bd50229.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.21 KB	0
open	f614399c-b5dc-4f38-aace-83f8db3b841a.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	310.36 KB	0
open	8236bc9d-2156-4991-a5eb-223e02229b3a.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.68 KB	0
open	cdd8996e-fb92-4499-83fa-ef393afbe86c.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	299.52 KB	0
open	f7b2476f-2087-4e10-8571-bd8e1fcbb835.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	300.38 KB	0
open	4584bfa8-d55e-4bdc-a045-5b036c653a2a.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.61 KB	0
open	018e080c-09c4-4911-9025-b5a2384ed71b.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.69 KB	0
open	1c75df78-5aca-4280-a22b-044670ba86ab.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.64 KB	0
open	b850c213-ce46-4095-80a7-e38d7de12e08.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	309.43 KB	0
open	d8ab768a-388e-4dfe-afad-88d83c2329c4.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	312.05 KB	0
open	a6ddcc84-8e4d-4c68-885c-2d51168eec97.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	305.91 KB	0
open	c5b00790-f1c8-46ee-bbdc-48fe1cab3e24.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	307.6 KB	0
open	07aaf5cd-83c5-4784-b7a7-324d056e7019.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	309.9 KB	0
open	33aea564-8086-4b2d-a28d-eccc379ecfa6.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	307.2 KB	0
open	1efaf04d-28f9-4429-85eb-a786adee5500.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.05 KB	0
open	11c215d3-3a8d-43e5-8227-f8e993e1e021.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	308.4 KB	0
open	97512c95-1685-46a9-88db-071766889490.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	302.83 KB	0
open	30471596-3380-456a-8e55-2925b108e017.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	303.36 KB	0
open	9c110cd2-aca9-4fa4-8035-193554239aac.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	306.57 KB	0
open	6b2583f1-bbea-4020-ad73-8a59589b8cc3.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	309.83 KB	0
open	ab82d4af-1327-4e2b-81e6-06ba12ee9e80.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	301.4 KB	0
open	dd3f3d1f-12b8-4cc7-9f4c-105faef04a51.FPKM.txt.gz	1	ORGANOID-PANCREATIC	Transcriptome Profiling	TXT	304.75 KB	0